Index,Ion,Binary Oxides,ICSD,mpid,element,oxidation_state
0,Ag+,Ag2O,,mp-353,Ag,1
1,Al3+,Al2O3,43732,mp-1143,Al,3
2,Au3+,Au2O3,,mp-27253,Au,3
3,As5+,As2O5,,mp-555434,As,5
4,Ba2+,BaO,52278,mp-1342,Ba,2
5,Bi3+,Bi2O3,,mp-23262,Bi,3
6,Bi5+,,,,,5
7,Br5+,,,,,5
8,Ca2+,CaO,52783,mp-2605,Ca,2
9,Cd2+,CdO,24802,mp-1132,Cd,2
10,Ce3+,Ce2O3,,mp-542313,Ce,3
11,Ce4+,CeO2,,mp-20194,Ce,4
12,Co2+,CoO,,mp-19079,Co,2
13,Co3+,,,mvc-852,Co,3
14,Cr2+,,,,,2
15,Cr3+,Cr2O3,38125,mp-19399,Cr,3
16,Cr4+,CrO2,,mp-19177,Cr,4
17,Cs+,Cs2O,,mp-7988,Cs,1
18,Cu2+,CuO,,mp-1692,Cu,2
19,Dy3+,Dy2O3,,mp-2345,Dy,3
20,Er3+,Er2O3,,mp-679,Er,3
21,Eu3+,Eu2O3,40472,,Eu,3
22,Fe2+,FeO,,mp-18905,Fe,2
23,Fe3+,Fe2O3,,mp-24972,Fe,3
24,Fe4+,FeO2,,mp-850222,Fe,4
25,Ga3+,Ga2O3,,mp-886,Ga,3
26,Gd3+,Gd2O3,,mp-504886,Gd,3
27,Ge4+,GeO2,92551,mp-470,Ge,4
28,Hf4+,HfO2,27313,mp-352,Hf,4
29,Hg2+,HgO,,mp-1224,Hg,2
30,Ho3+,Ho2O3,,mp-812,Ho,3
31,I5+,I2O5,,mp-23261,I,5
32,In3+,In2O3,,mp-22598,In,3
33,Ir4+,IrO2,,mp-2723,Ir,4
34,Ir5+,,,,,5
35,K+,K2O,,mp-971,,1
36,La3+,La2O3,96201,mp-2292,La,3
37,Li+,Li2O,57411,mp-1960,Li,1
38,Lu3+,Lu2O3,,mp-1427,Lu,3
39,Mg2+,MgO,52026,mp-1265,Mg,2
40,Mn2+,MnO,,mp-714882,Mn,2
41,Mn3+,Mn2O3,,mp-542877,Mn,3
42,Mn4+,MnO2,,mp-19395,Mn,4
43,Mo3+,,,,,3
44,Mo4+,MoO2,,mp-510536,Mo,4
45,Na+,Na2O,60435,mp-2352,Na,1
46,Nb4+,NbO2,,mp-557057,Nb,4
47,Nb5+,Nb2O5,25750,,Nb,5
48,Nd3+,Nd2O3,,mp-1045,Nd,3
49,Ni2+,NiO,,mp-19009,Ni,2
50,Ni3+,,,,,3
51,Ni4+,,,,,4
52,Os4+,OsO2,,mp-996,Os,4
53,Os5+,,,,,5
54,P5+,P2O5,40865,mp-562613,P,5
55,Pb2+,PbO,,mp-672237,Pb,2
56,Pb4+,PbO2,,mp-20725,Pb,4
57,Pd4+,PdO2,,mp-1018886,Pd,4
58,Pd2+,PdO,,mp-1336,Pd,2
59,Pr3+,Pr2O3,,mp-16705,Pr,3
60,Pr4+,PrO2,,mp-1302,Pr,4
61,Pt2+,PtO,,mp-7947,Pt,2
62,Pt4+,PtO2,,mp-1285,Pt,4
63,Pu4+,PuO2,,mp-1959,Pu,4
64,Rb+,Rb2O,,mp-1394,Rb,1
65,Re4+,ReO2,,mp-7228,Re,4
66,Re5+,,,,,5
67,Rh3+,Rh2O3,,mp-542734,Rh,3
68,Rh4+,RhO2,,mp-725,Rh,4
69,Ru4+,RuO2,,mp-825,Ru,4
70,Ru5+,,,,,5
71,Sb5+,Sb2O5,,mp-1705,Sb,5
72,Sc3+,Sc2O3,,mp-216,Sc,3
73,Se4+,SeO2,,mp-726,Se,4
74,Si4+,SiO2,98629,mp-7000,Si,4
75,Sm3+,Sm2O3,,mp-218,Sm,3
76,Sn2+,SnO,,mp-2097,Sn,2
77,Sn4+,SnO2,,mp-856,Sn,4
78,Sr2+,SrO,28904,mp-2472,Sr,2
79,Tc4+,TcO2,,mp-33137,Tc,4
80,Ta5+,Ta2O5,,mvc-4415,Ta,5
81,Tb3+,Tb2O3,,mp-1056,Tb,3
82,Tb4+,TbO2,,mp-2458,Tb,4
83,Te4+,TeO2,,mp-2125,Te,4
84,Ti3+,Ti2O3,,mp-458,Ti,3
85,Ti4+,TiO2,69331,mp-2657,Ti,4
86,Tl+,Tl2O,,mp-27484,Tl,1
87,Tl3+,Tl2O3,,mp-1658,Tl,3
88,Tm3+,Tm2O3,,mp-1767,Tm,3
89,V2+,,,,,2
90,V3+,V2O3,,mp-25787,V,3
91,V4+,VO2,,mp-19094,V,4
92,V5+,V2O5,,mp-25620,V,5
93,W4+,WO2,,mp-19372,W,4
94,Y3+,Y2O3,,mp-2652,Y,4
95,Yb2+,,,,,2
96,Yb3+,Yb2O3,,mp-2814,Yb,3
97,Zn2+,ZnO,31060,mp-2133,Zn,2
98,Zr4+,ZrO2,68782,mp-2858,Zr,4
